RowNum,BlockNum,ItemNum,Condition,Group,Prime,PrimeSoundFile,Pword,Target,TargetSoundFile,Tword,Ptype,Ttype
1,ExpBlock1,C1,Exp,1,保护者,w_保护者_U_4.wav,word,合作者,w_合作者_U.wav,word,Suffixed,Suffixed
2,ExpBlock1,C4,Exp,1,感染者,w_感染者_U_6.wav,word,领导者,w_领导者_U_3.wav,word,Suffixed,Suffixed
3,ExpBlock1,C7,Exp,1,聆听者,w_聆听者_U_2.wav,word,追随者,w_追随者_U_3.wav,word,Suffixed,Suffixed
4,ExpBlock1,C10,Exp,1,支持者,w_支持者_U_3.wav,word,调查者,w_调查者_U_5.wav,word,Suffixed,Suffixed
5,ExpBlock1,C13,Exp,1,反抗者,w_反抗者_U.wav,word,发明者,w_发明者_U_6.wav,word,Suffixed,Suffixed
6,ExpBlock1,C16,Exp,1,劳动者,w_劳动者_U_4.wav,word,侵略者,w_侵略者_U_2.wav,word,Suffixed,Suffixed
7,ExpBlock1,C19,Exp,1,侍者,w_侍者_U_2.wav,word,智者,w_智者_U_2.wav,word,Suffixed,Suffixed
8,ExpBlock1,C22,Exp,1,老者,w_老者_U_3.wav,word,读者,w_读者_U_2.wav,word,Suffixed,Suffixed
9,ExpBlock1,C25,Exp,1,制作,w_制作_U_3.wav,word,观察者,w_观察者_U_2.wav,word,Unsuffixed,Suffixed
10,ExpBlock1,C28,Exp,1,替代,w_替代_U_2.wav,word,倾听者,w_倾听者_U_2.wav,word,Unsuffixed,Suffixed
11,ExpBlock1,C31,Exp,1,开拓,w_开拓_U_3.wav,word,涉案者,w_涉案者_U.wav,word,Unsuffixed,Suffixed
12,ExpBlock1,C34,Exp,1,目击,w_目击_U_3.wav,word,继承者,w_继承者_U_3.wav,word,Unsuffixed,Suffixed
13,ExpBlock1,C37,Exp,1,生还,w_生还_U.wav,word,举报者,w_举报者_U_3.wav,word,Unsuffixed,Suffixed
14,ExpBlock1,C40,Exp,1,朝圣,w_朝圣_U_3.wav,word,鼓吹者,w_鼓吹者_U.wav,word,Unsuffixed,Suffixed
15,ExpBlock1,C43,Exp,1,前方,w_前方_U_2.wav,word,强者,w_强者_U_2.wav,word,Unsuffixed,Suffixed
16,ExpBlock2,C2,Exp,1,设计者,w_设计者_U_2.wav,word,失败者,w_失败者_U.wav,word,Suffixed,Suffixed
17,ExpBlock2,C5,Exp,1,贡献者,w_贡献者_U_2.wav,word,伪装者,w_伪装者_U_3.wav,word,Suffixed,Suffixed
18,ExpBlock2,C8,Exp,1,逃亡者,w_逃亡者_U _2.wav,word,捍卫者,w_捍卫者_U_2.wav,word,Suffixed,Suffixed
19,ExpBlock2,C11,Exp,1,参与者,w_参与者_U_3.wav,word,交易者,w_交易者_U_3.wav,word,Suffixed,Suffixed
20,ExpBlock2,C14,Exp,1,购买者,w_购买者_U_3.wav,word,负担者,w_负担者_U.wav,word,Suffixed,Suffixed
21,ExpBlock2,C17,Exp,1,志愿者,w_志愿者_U.wav,word,传播者,w_传播者_U_2.wav,word,Suffixed,Suffixed
22,ExpBlock2,C20,Exp,1,学者,w_学者_U_3.wav,word,后者,w_后者_U.wav,word,Suffixed,Suffixed
23,ExpBlock2,C23,Exp,1,使用,w_使用_U_3.wav,word,组织者,w_组织者_U_2.wav,word,Unsuffixed,Suffixed
24,ExpBlock2,C26,Exp,1,指挥,w_指挥_U_2.wav,word,审判者,w_审判者_U_2.wav,word,Unsuffixed,Suffixed
25,ExpBlock2,C29,Exp,1,同盟,w_同盟_U_2.wav,word,探险者,w_探险者_U_5.wav,word,Unsuffixed,Suffixed
26,ExpBlock2,C32,Exp,1,表演,w_表演_U_3.wav,word,获得者,w_获得者_U_2.wav,word,Unsuffixed,Suffixed
27,ExpBlock2,C35,Exp,1,进攻,w_进攻_U_3.wav,word,崇拜者,w_崇拜者_U_2.wav,word,Unsuffixed,Suffixed
28,ExpBlock2,C38,Exp,1,消费,w_消费_U_2.wav,word,告密者,w_告密者_U.wav,word,Unsuffixed,Suffixed
29,ExpBlock2,C41,Exp,1,记录,w_记录_U_2.wav,word,患者,w_患者_U.wav,word,Unsuffixed,Suffixed
30,ExpBlock2,C44,Exp,1,使唤,w_使唤_U_2.wav,word,作者,w_作者_U.wav,word,Unsuffixed,Suffixed
31,ExpBlock3,C3,Exp,1,起诉者,w_起诉者_U_3.wav,word,胜利者,w_胜利者_U_4.wav,word,Suffixed,Suffixed
32,ExpBlock3,C6,Exp,1,幸存者,w_幸存者_U_3.wav,word,开发者,w_开发者_U_5.wav,word,Suffixed,Suffixed
33,ExpBlock3,C9,Exp,1,定居者,w_定居者_U_3.wav,word,偷盗者,w_偷盗者_U_2.wav,word,Suffixed,Suffixed
34,ExpBlock3,C12,Exp,1,练习者,w_练习者_U.wav,word,背叛者,w_背叛者_U.wav,word,Suffixed,Suffixed
35,ExpBlock3,C15,Exp,1,知情者,w_知情者_U.wav,word,生产者,w_生产者_U_3.wav,word,Suffixed,Suffixed
36,ExpBlock3,C18,Exp,1,参选者,w_参选者_U_2.wav,word,流浪者,w_流浪者_U_2.wav,word,Suffixed,Suffixed
37,ExpBlock3,C21,Exp,1,笔者,w_笔者_U_2.wav,word,王者,w_王者_U.wav,word,Suffixed,Suffixed
38,ExpBlock3,C24,Exp,1,接触,w_接触_U_3.wav,word,旅行者,w_旅行者_U_2.wav,word,Unsuffixed,Suffixed
39,ExpBlock3,C27,Exp,1,演奏,w_演奏_U_2.wav,word,终结者,w_终结者_U.wav,word,Unsuffixed,Suffixed
40,ExpBlock3,C30,Exp,1,决策,w_决策_U_3.wav,word,遇难者,w_遇难者_U_2.wav,word,Unsuffixed,Suffixed
41,ExpBlock3,C33,Exp,1,破坏,w_破坏_U_2.wav,word,研究者,w_研究者_U_3.wav,word,Unsuffixed,Suffixed
42,ExpBlock3,C36,Exp,1,访问,w_访问_U_2.wav,word,冒犯者,w_冒犯者_U_6.wav,word,Unsuffixed,Suffixed
43,ExpBlock3,C39,Exp,1,饲养,w_饲养_U_2.wav,word,创业者,w_创业者_U_2.wav,word,Unsuffixed,Suffixed
44,ExpBlock3,C42,Exp,1,伤亡,w_伤亡_U_2.wav,word,长者,w_长者_U.wav,word,Unsuffixed,Suffixed
45,ExpBlock1,C1,Exp,2,使用者,w_使用者_U_3.wav,word,合作者,w_合作者_U.wav,word,Suffixed,Suffixed
46,ExpBlock1,C4,Exp,2,指挥者,w_指挥者_U_2.wav,word,调查者,w_调查者_U_5.wav,word,Suffixed,Suffixed
47,ExpBlock1,C7,Exp,2,同盟者,w_同盟者_U_2.wav,word,智者,w_智者_U_2.wav,word,Suffixed,Suffixed
48,ExpBlock1,C10,Exp,2,表演者,w_表演者_U_2.wav,word,倾听者,w_倾听者_U_2.wav,word,Suffixed,Suffixed
49,ExpBlock1,C13,Exp,2,进攻者,w_进攻者_U_2.wav,word,举报者,w_举报者_U_3.wav,word,Suffixed,Suffixed
50,ExpBlock1,C16,Exp,2,消费者,w_消费者_U_4.wav,word,失败者,w_失败者_U.wav,word,Suffixed,Suffixed
51,ExpBlock1,C19,Exp,2,记者,w_记者_U.wav,word,交易者,w_交易者_U_3.wav,word,Suffixed,Suffixed
52,ExpBlock1,C22,Exp,2,使者,w_使者_U_3.wav,word,后者,w_后者_U.wav,word,Suffixed,Suffixed
53,ExpBlock1,C25,Exp,2,起诉,w_起诉_U.wav,word,探险者,w_探险者_U_5.wav,word,Unsuffixed,Suffixed
54,ExpBlock1,C28,Exp,2,幸存,w_幸存_U_3.wav,word,告密者,w_告密者_U.wav,word,Unsuffixed,Suffixed
55,ExpBlock1,C31,Exp,2,定居,w_定居_U_3.wav,word,胜利者,w_胜利者_U_4.wav,word,Unsuffixed,Suffixed
